Company Name,Link
Bajaj Finserv,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04
Bajaj Holdings,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI
Balaji Amines,https://www.moneycontrol.com/india/stockpricequote/chemicals/balajiamines/BA05
Balkrishna Ind,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03
Balrampur Chini,https://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM
Bandhan Bank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09
Bank of Baroda,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB
Bank of India,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI
Bank of Mah,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05
BASF,https://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS
Bata India,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01
Bayer CropScien,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12
BEML,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03
Berger Paints,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
Bharat Dynamics,https://www.moneycontrol.com/india/stockpricequote/bharatdynamics/bharatdynamics/BDL01
Bharat Elec,https://www.moneycontrol.com/india/stockpricequote/bharatelec/bharatelectronics/BE03
Bharat Forge,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03
Bharti Airtel,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08
BHEL,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE
Biocon,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03
Birla Corp,https://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07
Birlasoft,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/birlasoft/KPI02
BLS Internation,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/blsinternationalservices/BLS
Blue Dart,https://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE
Blue Star,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS
Bombay Burmah,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT
Bosch,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05
BPCL,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
Brigade Ent,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/brigadeenterprises/BE08
Britannia,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI
Can Fin Homes,https://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH
Canara Bank,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06
Caplin Labs,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL
Capri Global,https://www.moneycontrol.com/india/stockpricequote/financegeneral/capriglobalcapital/MMF05
Carborundum,https://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU
